Es ist die letzte Woche des Semesters und der Lehrer muss den Schülern Noten geben. Der Lehrer hat seinen eigenen Algorithmus zur Bewertung entwickelt. Das einzige Problem ist, dass er den Code, den er zur Bewertung verwendet hat, verloren hat. Er hat Ihnen eine Liste von GPAs für einige Schüler gegeben und Sie müssen eine Funktion schreiben, die eine Liste von Buchstabennoten gemäß der folgenden Tabelle ausgeben kann:

             GPA       |    Buchstaben Note
              4.0                A+
            > 3.7                A 
            > 3.3                A- 
            > 3.0                B+
            > 2.7                B 
            > 2.3                B-
            > 2.0                C+
            > 1.7                C
            > 1.3                C-
            > 1.0                D+ 
            > 0.7                D 
            > 0.0                D-
              0.0                E
